,Images,Original Age,Original Gender,Grayscale Age,Grayscale Gender,Age Difference,Gender Difference,True Age,Original Age Bucket,Grayscale Age Bucket
0, male black middle-age,66,Male,65,Male,1.0153846153846153,0,35-54,65+,65+
1, female black teen,21,Female,21,Female,1.0,0,12-18,19-34,19-34
2, female black child,20,Female,20,Female,1.0,0,0-12,19-34,19-34
3, male black adult,31,Male,30,Male,1.0333333333333334,0,19-34,19-34,19-34
4, male black child,19,Female,19,Female,1.0,0,0-12,19-34,19-34
5, female black adult,42,Female,32,Female,1.3125,0,19-34,35-54,19-34
6, female black middle-age,78,Female,70,Female,1.1142857142857143,0,35-54,65+,65+
7, male black teen,20,Male,20,Male,1.0,0,12-18,19-34,19-34
8, male black old,79,Male,46,Male,1.7173913043478262,0,65+,65+,35-54
9, female black old,79,Female,67,Male,1.1791044776119404,-2,65+,65+,65+
10, male white old,84,Male,80,Male,1.05,0,65+,65+,65+
11, female white old,83,Female,82,Female,1.0121951219512195,0,65+,65+,65+
12, male white middle-age,55,Male,57,Male,0.9649122807017544,0,35-54,65+,65+
13, female white teen,24,Female,24,Female,1.0,0,12-18,19-34,19-34
14, female white child,22,Female,23,Female,0.9565217391304348,0,0-12,19-34,19-34
15, male white adult,28,Male,31,Male,0.9032258064516129,0,19-34,19-34,19-34
16, male white child,15,Female,15,Female,1.0,0,0-12,12-18,12-18
17, female white adult,36,Female,34,Female,1.0588235294117647,0,19-34,35-54,35-54
18, female white middle-age,80,Female,76,Female,1.0526315789473684,0,35-54,65+,65+
19, male white teen,20,Male,23,Male,0.8695652173913043,0,12-18,19-34,19-34
20, male white old,87,Male,75,Male,1.16,0,65+,65+,65+
21, male black old,72,Male,73,Male,0.9863013698630136,0,65+,65+,65+
22, male black old,78,Male,69,Male,1.1304347826086956,0,65+,65+,65+
23, male white old,86,Male,82,Male,1.048780487804878,0,65+,65+,65+
24, female white old,85,Female,78,Female,1.0897435897435896,0,65+,65+,65+
25, female black old,81,Female,71,Female,1.1408450704225352,0,65+,65+,65+
26, female white old,85,Male,87,Female,0.9770114942528736,2,65+,65+,65+
27, female black old,80,Female,72,Female,1.1111111111111112,0,65+,65+,65+
28, female white teen,23,Female,23,Female,1.0,0,12-18,19-34,19-34
29, male white middle-age,60,Male,59,Male,1.0169491525423728,0,35-54,65+,65+
30, female black child,20,Female,19,Female,1.0526315789473684,0,0-12,19-34,19-34
31, male white adult,37,Male,37,Male,1.0,0,19-34,35-54,35-54
32, male black middle-age,68,Male,60,Male,1.1333333333333333,0,35-54,65+,65+
33, male black adult,27,Male,29,Male,0.9310344827586207,0,19-34,19-34,19-34
34, female white child,11,Female,21,Female,0.5238095238095238,0,0-12,0-12,19-34
35, female black teen,24,Female,22,Female,1.0909090909090908,0,12-18,19-34,19-34
36, female black child,19,Female,19,Female,1.0,0,0-12,19-34,19-34
37, female white teen,20,Female,25,Female,0.8,0,12-18,19-34,19-34
38, male black middle-age,55,Male,46,Male,1.1956521739130435,0,35-54,65+,35-54
39, male black adult,34,Male,29,Male,1.1724137931034482,0,19-34,35-54,19-34
40, male white middle-age,65,Male,66,Male,0.9848484848484849,0,35-54,65+,65+
41, female black teen,20,Female,19,Female,1.0526315789473684,0,12-18,19-34,19-34
42, male white adult,34,Male,31,Male,1.096774193548387,0,19-34,35-54,19-34
43, female white child,21,Female,21,Female,1.0,0,0-12,19-34,19-34
44, female white adult,44,Female,41,Female,1.0731707317073171,0,19-34,35-54,35-54
45, male white child,21,Male,18,Male,1.1666666666666667,0,0-12,19-34,19-34
46, female black middle-age,72,Female,63,Female,1.1428571428571428,0,35-54,65+,65+
47, male white teen,18,Male,19,Male,0.9473684210526315,0,12-18,19-34,19-34
48, male black child,20,Female,18,Female,1.1111111111111112,0,0-12,19-34,19-34
49, male black teen,20,Male,19,Male,1.0526315789473684,0,12-18,19-34,19-34
50, female white middle-age,79,Female,72,Female,1.0972222222222223,0,35-54,65+,65+
51, female black adult,45,Female,36,Female,1.25,0,19-34,35-54,35-54
52, female black middle-age,70,Female,63,Female,1.1111111111111112,0,35-54,65+,65+
53, female white adult,44,Female,49,Female,0.8979591836734694,0,19-34,35-54,35-54
54, male black child,22,Female,19,Female,1.1578947368421053,0,0-12,19-34,19-34
55, male black teen,22,Male,19,Male,1.1578947368421053,0,12-18,19-34,19-34
56, male white child,8,Male,19,Male,0.42105263157894735,0,0-12,0-12,19-34
57, female black adult,39,Female,31,Female,1.2580645161290323,0,19-34,35-54,19-34
58, male white teen,21,Male,20,Male,1.05,0,12-18,19-34,19-34
59, female white middle-age,75,Female,71,Female,1.056338028169014,0,35-54,65+,65+
60, male white middle-age,58,Male,60,Male,0.9666666666666667,0,35-54,65+,65+
61, male black adult,36,Male,32,Male,1.125,0,19-34,35-54,19-34
62, female white child,21,Female,20,Female,1.05,0,0-12,19-34,19-34
63, female white teen,22,Female,26,Female,0.8461538461538461,0,12-18,19-34,19-34
64, female black child,16,Female,20,Female,0.8,0,0-12,12-18,19-34
65, male white adult,26,Male,33,Male,0.7878787878787878,0,19-34,19-34,19-34
66, female black teen,22,Female,19,Female,1.1578947368421053,0,12-18,19-34,19-34
67, male black middle-age,69,Male,52,Male,1.3269230769230769,0,35-54,65+,35-54
68, male black adult,31,Male,27,Male,1.1481481481481481,0,19-34,19-34,19-34
69, female black child,19,Female,17,Female,1.1176470588235294,0,0-12,19-34,12-18
70, male white middle-age,45,Male,48,Male,0.9375,0,35-54,35-54,35-54
71, female black teen,22,Female,22,Female,1.0,0,12-18,19-34,19-34
72, female white child,20,Female,20,Female,1.0,0,0-12,19-34,19-34
73, female white teen,19,Female,21,Female,0.9047619047619048,0,12-18,19-34,19-34
74, male black middle-age,75,Male,74,Male,1.0135135135135136,0,35-54,65+,65+
75, male white adult,38,Male,36,Male,1.0555555555555556,0,19-34,35-54,35-54
76, male white child,18,Male,18,Male,1.0,0,0-12,19-34,19-34
77, male black teen,19,Male,18,Male,1.0555555555555556,0,12-18,19-34,19-34
78, female white middle-age,74,Female,73,Female,1.0136986301369864,0,35-54,65+,65+
79, female white adult,45,Female,43,Female,1.0465116279069768,0,19-34,35-54,35-54
80, female black middle-age,81,Female,72,Female,1.125,0,35-54,65+,65+
