,Images,Original Age,Original Gender,Grayscale Age,Grayscale Gender,Age Difference,Gender Difference,True Age,Original Age Bucket,Grayscale Age Bucket
0, female black middle-age,36,Female,31,Male,1.1612903225806452,-2,35-54,35-54,19-34
1, male black teen,22,Female,25,Male,0.88,-2,12-18,19-34,19-34
2, female white adult,48,Female,54,Female,0.8888888888888888,0,19-34,35-54,65+
3, female black old,80,Female,58,Female,1.3793103448275863,0,65+,65+,65+
4, male white child,16,Male,46,Female,0.34782608695652173,2,0-12,12-18,35-54
5, male white teen,24,Male,34,Male,0.7058823529411765,0,12-18,19-34,35-54
6, female white middle-age,69,Female,66,Female,1.0454545454545454,0,35-54,65+,65+
7, male black child,20,Male,21,Male,0.9523809523809523,0,0-12,19-34,19-34
8, female white old,60,Female,69,Female,0.8695652173913043,0,65+,65+,65+
9, female black adult,34,Female,27,Female,1.2592592592592593,0,19-34,35-54,19-34
10, female black child,13,Female,18,Female,0.7222222222222222,0,0-12,12-18,19-34
11, male black adult,44,Male,46,Male,0.9565217391304348,0,19-34,35-54,35-54
12, male white old,68,Male,65,Male,1.0461538461538462,0,65+,65+,65+
13, female white teen,18,Female,19,Female,0.9473684210526315,0,12-18,19-34,19-34
14, male white middle-age,44,Male,46,Male,0.9565217391304348,0,35-54,35-54,35-54
15, male black old,71,Male,45,Male,1.5777777777777777,0,65+,65+,35-54
16, male white adult,31,Male,29,Male,1.0689655172413792,0,19-34,19-34,19-34
17, female white child,27,Female,23,Female,1.173913043478261,0,0-12,19-34,19-34
18, male black middle-age,61,Male,63,Male,0.9682539682539683,0,35-54,65+,65+
19, female black teen,25,Female,24,Female,1.0416666666666667,0,12-18,19-34,19-34
20, female white middle-age,52,Female,52,Female,1.0,0,35-54,35-54,35-54
21, male white teen,25,Male,24,Male,1.0416666666666667,0,12-18,19-34,19-34
22, female white old,73,Female,73,Female,1.0,0,65+,65+,65+
23, female black adult,19,Female,23,Female,0.8260869565217391,0,19-34,19-34,19-34
24, male black child,34,Female,30,Female,1.1333333333333333,0,0-12,35-54,19-34
25, male black teen,33,Male,22,Male,1.5,0,12-18,19-34,19-34
26, female black middle-age,41,Female,35,Female,1.1714285714285715,0,35-54,35-54,35-54
27, male white child,35,Female,34,Female,1.0294117647058822,0,0-12,35-54,35-54
28, female white adult,31,Female,36,Female,0.8611111111111112,0,19-34,19-34,35-54
29, female black old,65,Female,61,Female,1.0655737704918034,0,65+,65+,65+
30, female white child,21,Female,22,Female,0.9545454545454546,0,0-12,19-34,19-34
31, male black old,81,Male,61,Male,1.3278688524590163,0,65+,65+,65+
32, male white adult,28,Male,30,Male,0.9333333333333333,0,19-34,19-34,19-34
33, female black teen,20,Female,19,Female,1.0526315789473684,0,12-18,19-34,19-34
34, male black middle-age,51,Male,49,Male,1.0408163265306123,0,35-54,35-54,35-54
35, male black adult,35,Male,41,Male,0.8536585365853658,0,19-34,35-54,35-54
36, male white old,87,Male,65,Male,1.3384615384615384,0,65+,65+,65+
37, female black child,21,Female,20,Female,1.05,0,0-12,19-34,19-34
38, male white middle-age,50,Male,48,Male,1.0416666666666667,0,35-54,35-54,35-54
39, female white teen,22,Female,20,Female,1.1,0,12-18,19-34,19-34
40, female white adult,24,Female,26,Female,0.9230769230769231,0,19-34,19-34,19-34
41, female black old,70,Female,68,Female,1.0294117647058822,0,65+,65+,65+
42, male white child,22,Male,18,Male,1.2222222222222223,0,0-12,19-34,19-34
43, female black middle-age,60,Female,55,Female,1.0909090909090908,0,35-54,65+,65+
44, male black teen,18,Male,20,Male,0.9,0,12-18,19-34,19-34
45, male black child,22,Female,20,Female,1.1,0,0-12,19-34,19-34
46, female white old,41,Female,45,Female,0.9111111111111111,0,65+,35-54,35-54
47, female black adult,20,Female,19,Male,1.0526315789473684,-2,19-34,19-34,19-34
48, male white teen,19,Male,20,Male,0.95,0,12-18,19-34,19-34
49, female white middle-age,33,Female,39,Female,0.8461538461538461,0,35-54,19-34,35-54
50, female white teen,22,Female,22,Female,1.0,0,12-18,19-34,19-34
51, male white middle-age,50,Male,47,Male,1.0638297872340425,0,35-54,35-54,35-54
52, female black child,22,Female,20,Female,1.1,0,0-12,19-34,19-34
53, male black adult,41,Male,42,Male,0.9761904761904762,0,19-34,35-54,35-54
54, male white old,89,Male,77,Male,1.155844155844156,0,65+,65+,65+
55, male black middle-age,54,Male,49,Male,1.1020408163265305,0,35-54,65+,35-54
56, female black teen,24,Female,22,Female,1.0909090909090908,0,12-18,19-34,19-34
57, male black old,73,Male,66,Male,1.106060606060606,0,65+,65+,65+
58, male white adult,32,Male,37,Male,0.8648648648648649,0,19-34,19-34,35-54
59, female white child,20,Female,20,Female,1.0,0,0-12,19-34,19-34
60, female white old,84,Female,81,Female,1.037037037037037,0,65+,65+,65+
61, female black adult,33,Female,29,Female,1.1379310344827587,0,19-34,19-34,19-34
62, male black child,22,Female,22,Female,1.0,0,0-12,19-34,19-34
63, female white middle-age,54,Female,55,Female,0.9818181818181818,0,35-54,65+,65+
64, male white teen,20,Male,20,Male,1.0,0,12-18,19-34,19-34
65, male white child,22,Male,31,Male,0.7096774193548387,0,0-12,19-34,19-34
66, female white adult,25,Female,28,Female,0.8928571428571429,0,19-34,19-34,19-34
67, female black old,70,Female,59,Female,1.1864406779661016,0,65+,65+,65+
68, male black teen,28,Male,28,Male,1.0,0,12-18,19-34,19-34
69, female black middle-age,29,Female,27,Female,1.0740740740740742,0,35-54,19-34,19-34
70, female black teen,24,Female,48,Female,0.5,0,12-18,19-34,35-54
71, male black middle-age,57,Male,55,Male,1.0363636363636364,0,35-54,65+,65+
72, female white child,24,Female,24,Female,1.0,0,0-12,19-34,19-34
73, male black old,71,Male,55,Male,1.290909090909091,0,65+,65+,65+
74, male white adult,31,Male,34,Male,0.9117647058823529,0,19-34,19-34,35-54
75, male white middle-age,32,Male,36,Male,0.8888888888888888,0,35-54,19-34,35-54
76, female white teen,21,Female,21,Female,1.0,0,12-18,19-34,19-34
77, male black adult,35,Male,34,Male,1.0294117647058822,0,19-34,35-54,35-54
78, male white old,91,Male,72,Male,1.2638888888888888,0,65+,65+,65+
79, female black child,28,Female,25,Female,1.12,0,0-12,19-34,19-34
80, male black child,6,Female,14,Male,0.42857142857142855,-2,0-12,0-12,12-18
81, female black adult,25,Female,25,Male,1.0,-2,19-34,19-34,19-34
82, female black middle-age,58,Female,55,Female,1.0545454545454545,0,35-54,65+,65+
83, male black teen,28,Male,24,Male,1.1666666666666667,0,12-18,19-34,19-34
84, male black middle-age,42,Male,37,Male,1.135135135135135,0,35-54,35-54,35-54
85, female black teen,31,Female,28,Female,1.1071428571428572,0,12-18,19-34,19-34
86, female black child,22,Female,22,Female,1.0,0,0-12,19-34,19-34
87, male black adult,35,Male,25,Male,1.4,0,19-34,35-54,19-34
88, female black old,78,Male,75,Male,1.04,0,65+,65+,65+
89, male black old,66,Male,60,Male,1.1,0,65+,65+,65+
